8.800584077835083008e-01 3.899116516113281250e-01 9.794672131538391113e-01 6.755397468805313110e-02 6.719112634658813477e+00
9.608380198478698730e-01 1.296762377023696899e-01 9.820714592933654785e-01 5.384840816259384155e-02 2.285100698471069336e+00
9.670975804328918457e-01 1.079460307955741882e-01 9.857771992683410645e-01 4.544442147016525269e-02 2.284762144088745117e+00
9.724390506744384766e-01 9.224173426628112793e-02 9.836740493774414062e-01 5.167652294039726257e-02 2.243151187896728516e+00
9.739910960197448730e-01 8.493689447641372681e-02 9.872798919677734375e-01 4.498300328850746155e-02 2.230906009674072266e+00
9.754602313041687012e-01 8.162801712751388550e-02 9.865785241127014160e-01 4.126213490962982178e-02 2.200648069381713867e+00
9.768285751342773438e-01 7.595808058977127075e-02 9.879809021949768066e-01 4.033204540610313416e-02 2.263685464859008789e+00
9.763113856315612793e-01 7.812885195016860962e-02 9.896835684776306152e-01 3.621640801429748535e-02 2.275461196899414062e+00
9.765284657478332520e-01 7.429051399230957031e-02 9.883815050125122070e-01 3.853636234998703003e-02 2.330630064010620117e+00
9.769790768623352051e-01 7.545346766710281372e-02 9.879808425903320312e-01 4.342117905616760254e-02 2.204024791717529297e+00
9.775133132934570312e-01 7.239530980587005615e-02 9.890825748443603516e-01 3.647064045071601868e-02 2.217485904693603516e+00
9.780971407890319824e-01 6.956235319375991821e-02 9.899839758872985840e-01 3.521686792373657227e-02 2.206084012985229492e+00
9.786983132362365723e-01 6.972068548202514648e-02 9.906850457191467285e-01 3.271905332803726196e-02 2.204144477844238281e+00
9.783310294151306152e-01 7.124666124582290649e-02 9.904848933219909668e-01 3.713238611817359924e-02 2.232053279876708984e+00
9.788483977317810059e-01 6.762475520372390747e-02 9.873799085617065430e-01 4.578004777431488037e-02 2.238040924072265625e+00
9.797832965850830078e-01 6.620176881551742554e-02 9.894832968711853027e-01 3.910319134593009949e-02 2.467856168746948242e+00
